matched volume,cancelled volume,,,,,,,
2.878799478,2.847074812,,,,,,,
0.325999591,19.75965351,,,,,,,
2.003148829,9.511666184,,,,,,,
2.962262118,3.625210778,,,,,,,
1.907359994,6.492058892,,,,,,,
9.343120823,5.8994676,,,,,,,
3.639473126,5.88401272,,,,,,,
6.956372269,3.237925639,,,,,,,
0.043913548,5.980287603,,,,,,,
0.093939302,4.143718934,,,,,,,
1.364182863,4.059692401,,,,,,,
5.754316023,3.554296816,,,,,,,
3.51206426,13.6485114,,,,,,,
3.462670033,11.28134725,,,,,,,
1.127039918,8.44553917,,,,,,,
1.535905365,17.64733088,,,,,,,
9.335705189,0.276549753,,,,,,,
6.478264294,2.047984885,,,,,,,
2.939423137,11.71744418,,,,,,,
2.936777395,3.494931386,,,,,,,
1.766504378,5.952131259,,,,,,,
2.220820887,0.773670622,,,,,,,
1.267705345,1.301019794,,,,,,,
0.595323512,5.613151201,,,,,,,
3.854665744,19.08822447,,,,,,,
6.173039477,4.435630628,,,,,,,
5.037588901,8.641628279,,,,,,,
0.358486643,12.59019281,,,,,,,
2.67045965,0.948478427,,,,,,,
5.73855028,13.94165424,,,,,,,
0.589836498,0.527888496,,,,,,,
3.318942412,9.078253631,,,,,,,
2.363253582,3.768470449,,,,,,,
4.074478828,6.083924127,,,,,,,
0.970126892,1.415058718,,,,,,,
5.776360115,23.99094009,,,,,,,
0.457701188,1.847995222,,,,,,,
5.140366738,8.265363955,,,,,,,
1.821123617,6.902231995,,,,,,,
1.493300813,9.371431128,,,,,,,
2.242052091,2.261783418,,,,,,,
4.947705674,6.151497133,,,,,,,
7.69634697,0.514589544,,,,,,,
5.396748035,2.715192236,,,,,,,
2.722740416,14.1169646,,,,,,,
1.555796552,10.12449771,,,,,,,
5.626867321,13.62099235,,,,,,,
3.548857887,5.853140926,,,,,,,
10.85046801,3.722904355,,,,,,,
4.726233763,8.178932569,,,,,,,
3.849499875,3.211676047,,,,,,,
3.707841226,8.112887225,,,,,,,
0.471551337,2.328814629,,,,,,,
1.741921782,2.667340624,,,,,,,
5.630699408,9.093120501,,,,,,,
0.526147885,3.375074191,,,,,,,
1.012905127,22.11739513,,,,,,,
2.011506947,13.98217734,,,,,,,
3.857454806,9.461988795,,,,,,,
1.661042439,17.12903456,,,,,,,
2.715115617,12.43230304,,,,,,,
6.569546971,0.536190945,,,,,,,
0.357401214,0.459455662,,,,,,,
0.799776202,4.078751422,,,,,,,
0.994276196,12.839438,,,,,,,
11.0178205,9.501079845,,,,,,,
8.742835898,16.42893488,,,,,,,
0.19475461,2.443985221,,,,,,,
1.725953182,7.610983491,,,,,,,
2.030435823,0.287969225,,,,,,,
14.57219083,4.832874591,,,,,,,
8.969888622,10.53629982,,,,,,,
2.389656933,3.842153874,,,,,,,
7.139877979,7.377469431,,,,,,,
2.551020037,4.246173584,,,,,,,
0.900511439,11.565712,,,,,,,
5.683160448,19.37432552,,,,,,,
6.926855581,3.857181741,,,,,,,
2.304974475,2.253042479,,,,,,,
2.357711409,5.284086076,,,,,,,
7.453681425,4.46767327,,,,,,,
3.579556298,0.607027453,,,,,,,
1.519046537,3.816176276,,,,,,,
8.916412066,11.19359865,,,,,,,
0.985721482,0.472580273,,,,,,,
6.700751324,3.149478288,,,,,,,
1.114581438,14.30090156,,,,,,,
2.105324088,0.117420234,,,,,,,
3.45427274,10.16103743,,,,,,,
4.597953108,3.792118333,,,,,,,
2.433546573,8.463760083,,,,,,,
3.032069227,7.629760778,,,,,,,
3.820908608,2.59649189,,,,,,,
1.30681444,4.644114927,,,,,,,
6.04701741,5.501877787,,,,,,,
0.378923135,1.037052605,,,,,,,
0.719598467,10.79903397,,,,,,,
3.369826834,1.294169039,,,,,,,
5.423973697,0.841692293,,,,,,,
4.978076606,3.830907784,,,,,,,
6.330645059,14.64207802,,,,,,,
2.874717725,1.664526704,,,,,,,
5.676148696,8.852156515,,,,,,,
1.283125281,2.05827039,,,,,,,
4.811816766,15.82982088,,,,,,,
1.97404061,0.452181383,,,,,,,
2.295712032,7.362686029,,,,,,,
3.692835297,4.904703821,,,,,,,
6.112427784,7.981659071,,,,,,,
8.795435191,12.18001692,,,,,,,
3.493448491,16.08507369,,,,,,,
0.45884357,12.24581215,,,,,,,
0.357717999,5.363392402,,,,,,,
2.846589529,23.02546352,,,,,,,
1.765470918,0.905828976,,,,,,,
1.285507808,7.09156474,,,,,,,
9.712410556,8.033687498,,,,,,,
2.262928209,0.511660166,,,,,,,
1.737545429,11.05222975,,,,,,,
7.771983381,1.431324565,,,,,,,
6.46830597,18.84136043,,,,,,,
2.747685363,0.829130701,,,,,,,
2.102789186,19.30171321,,,,,,,
1.280485927,8.594349023,,,,,,,
6.593894113,4.717208423,,,,,,,
5.315822183,4.180599387,,,,,,,
0.164941245,16.76243758,,,,,,,
3.549995551,8.813428979,,,,,,,
0.765044977,11.60204448,,,,,,,
3.761249098,11.00961636,,,,,,,
6.315779785,1.70336674,,,,,,,
2.48199488,9.623559461,,,,,,,
4.073182169,2.035365552,,,,,,,
0.664987111,3.49459163,,,,,,,
4.616593067,10.1524403,,,,,,,
1.730619861,10.51466571,,,,,,,
0.542681111,5.680108369,,,,,,,
0.59437177,8.920268925,,,,,,,
2.347396621,8.480138789,,,,,,,
2.420250468,8.199330513,,,,,,,
1.77994136,2.64277129,,,,,,,
0.740009378,6.012359538,,,,,,,
0.170259547,17.1052555,,,,,,,
2.907061225,3.159046586,,,,,,,
1.516011764,7.345890507,,,,,,,
3.193394095,7.206667621,,,,,,,
3.526034159,14.16735846,,,,,,,
0.812557693,4.631128249,,,,,,,
3.547239965,1.864350358,,,,,,,
1.118885161,4.738285605,,,,,,,
100,120,,,,,,,
70,85,,,,,,,
110,140,,,,,,,
115,121,,,,,,,
107,101,,,,,,,
