matched volume,cancelled volume
3.893294763,13.87364572
7.760433322,16.3769455
4.848050523,9.440412935
5.372269343,6.116622748
2.155401051,2.336978846
5.538819192,5.29247277
5.593965885,3.080089525
1.233484938,18.01707024
2.708435081,1.401699709
5.796847946,21.7755135
3.611960775,6.45901268
1.0920648,2.181786148
8.984736998,7.208476833
5.65166141,16.61477512
2.846502214,3.707328575
7.223880546,5.545690523
3.401301717,0.030198858
2.652813311,11.13384125
7.922262774,14.82303642
0.478111461,1.449344653
7.806493383,0.145792679
1.002641285,3.244090968
0.315061428,10.98485535
0.442703808,12.34497397
2.314001498,3.254204037
0.428660795,7.224657972
3.779296568,6.414917847
3.966741693,8.179176052
2.998260922,5.040763497
0.74511477,7.06691203
7.162292747,10.12884421
3.836092171,8.659283787
0.773152713,18.22644647
1.748428256,3.908029134
2.790902213,2.765994312
2.510638341,6.520269539
0.083453698,6.014892848
6.449828837,2.87222372
7.263418333,8.045983111
2.652652348,6.087020883
2.250934285,17.85094092
1.860639642,8.519020013
2.224381604,3.563596994
1.696769707,3.372753949
4.065771589,21.28073087
1.028125065,4.523160291
0.762239943,15.91952308
5.355383871,2.648206338
8.687173938,9.38922303
1.531807163,6.498794298
0.057066738,11.71637495
0.667546134,14.86804613
2.762324845,4.879086873
5.092259962,1.404564128
5.416380046,10.12424069
2.789314927,4.064468022
2.063945208,0.472303072
4.136108519,11.49782499
8.163037762,4.818397957
4.691050139,1.313032261
2.070937839,3.890563756
2.745915011,0.614007375
3.224656108,10.21289408
1.73342319,31.8907113
7.334455256,3.219193792
0.14543331,4.350688983
1.594170847,0.335342633
1.210960818,9.300682095
2.834698957,0.280076195
7.508395869,6.043827631
5.867577214,5.035466649
7.064119717,3.944978565
2.60210843,2.14055825
4.336428038,5.379812317
3.366618785,4.196764039
1.176270805,18.20965681
1.535206601,4.83430253
4.675363618,7.362492436
1.179989956,8.111379141
2.385875811,6.840491015
7.696424331,0.440652456
2.024582475,12.98970442
6.605192286,28.32265866
6.105300838,13.28087019
0.511258028,25.48848043
6.466169438,15.92631013
11.06217071,14.13339974
0.560275832,6.920768382
2.321950529,6.569742021
0.777046765,8.134901807
1.185969102,9.029353458
4.677729884,11.66546827
5.413835198,6.335064558
4.343606473,0.512623917
5.471433642,5.844365869
7.402828658,1.411928822
2.913834655,27.7049834
6.085276151,4.86522369
6.289610749,0.526403579
3.706182237,8.003137608
7.389294481,10.5340953
3.748889201,2.517730912
3.909884242,7.188147293
1.386096741,5.982771542
4.722622006,2.348018373
5.414509674,15.2786798
0.461536386,6.077653366
1.809766213,5.453849131
10.98767328,15.30050256
2.606844161,10.35171254
3.779678131,1.768425729
9.53633821,0.495402004
0.009080314,14.15849011
5.011833138,9.095532293
5.131282622,5.649394913
1.858322203,6.507499275
0.718298049,10.40015116
5.614077064,2.954561903
7.773463488,4.637804516
2.132022545,17.48218397
2.79178517,21.0326086
2.868955996,4.15459646
3.632824079,10.58060495
1.835737044,21.66210562
3.722179128,0.836506973
0.493994367,20.84255428
1.942313251,0.121816421
1.561406204,0.360835497
5.578851609,10.60512922
1.103509043,1.313673372
1.928901115,14.21792485
0.579407421,6.603782054
0.842534412,31.67659054
0.574725145,0.307954949
3.404655123,22.16161556
7.919915237,1.889760755
1.332012491,7.560297434
2.820715387,3.705800575
3.746217042,9.833748047
3.012592147,11.10652092
2.226070938,0.316182499
5.715069195,2.018980017
3.089120417,3.149778962
0.262415366,2.370319519
2.220944184,5.567329929
3.588342871,7.448104857
2.78899323,19.88236949
9.428654112,2.815387194
2.917426386,14.84787063
0.646260173,8.202064382
105,117
87,95
167,190
123,171
104,109
